Intersection 1 Lat,Intersection 1 Lon,Intersection 2 Lat,Intersection 2 Lon,Road Name,Highway Type(s),Distance (ft)
34.0203605,-118.2876734,34.0203897,-118.28774,Downey Way,service,22.8
34.0204187,-118.2878053,34.0203897,-118.28774,Downey Way,service,22.4
34.0203403,-118.2877721,34.0203897,-118.28774,Watt Way,service,20.5
34.0203605,-118.2876734,34.0199909,-118.2868305,Downey Way,service,288.3
34.0203605,-118.2876734,34.0203096,-118.2877086,Unnamed,footway,21.4
34.0203605,-118.2876734,34.0204703,-118.2877698,Unnamed,footway,67.2
34.0204187,-118.2878053,34.0206693,-118.2883663,Downey Way,service,192.7
34.0204187,-118.2878053,34.020371,-118.2878373,Unnamed,footway,19.9
34.0204187,-118.2878053,34.0204703,-118.2877698,Unnamed,footway,21.7
34.0203403,-118.2877721,34.0189677,-118.288651,Watt Way,service,566.9
34.0203403,-118.2877721,34.0203096,-118.2877086,Unnamed,footway,22.2
34.0203403,-118.2877721,34.020371,-118.2878373,Unnamed,footway,22.7
34.0211744,-118.289511,34.0211966,-118.2895727,Downey Way,service,20.3
34.0212184,-118.2896396,34.0211966,-118.2895727,Downy Place,service,21.7
34.0211472,-118.2896022,34.0211966,-118.2895727,McClintock Avenue,service,20.1
34.0212474,-118.2895374,34.0211966,-118.2895727,McClintock Avenue,service,21.4
34.0211744,-118.289511,34.0211232,-118.2895392,Unnamed,footway,20.5
34.0212184,-118.2896396,34.0215956,-118.2904908,Downy Place,service,291.9
34.0212184,-118.2896396,34.0211752,-118.2896662,Unnamed,footway,17.7
34.0211472,-118.2896022,34.0210564,-118.2896606,McClintock Avenue,service,37.5
34.0211472,-118.2896022,34.0211752,-118.2896662,Unnamed,footway,21.9
34.0211472,-118.2896022,34.0211232,-118.2895392,Unnamed,footway,21.0
34.0189353,-118.2888068,34.0191679,-118.2893331,West 37th Place,service,180.4
34.0192115,-118.2893018,34.0191679,-118.2893331,Unnamed,footway,18.5
34.0188798,-118.2888441,34.0189353,-118.2888068,Unnamed,footway,23.2
34.0189785,-118.2887773,34.0189353,-118.2888068,Unnamed,footway,18.1
34.0192115,-118.2893018,34.0189785,-118.2887773,Unnamed,footway,179.9
34.0194593,-118.2898562,34.0192115,-118.2893018,Unnamed,footway,190.5
34.0196658,-118.2904602,34.0196963,-118.2905307,West 37th Place,service,24.0
34.0196658,-118.2904602,34.0196135,-118.2904961,Unnamed,footway,22.0
34.0196135,-118.2904961,34.0188798,-118.2888441,Unnamed,footway,586.4
34.0189911,-118.288706,34.0189785,-118.2887773,Unnamed,footway,22.0
34.0194593,-118.2898562,34.0197824,-118.2896395,Unnamed,footway,135.5
34.0208561,-118.2889463,34.0197824,-118.2896395,Unnamed,footway,444.3
34.0197187,-118.2904174,34.0194593,-118.2898562,Unnamed,footway,194.7
34.0203681,-118.2878477,34.0208561,-118.2889463,Unnamed,footway,377.4
34.0211108,-118.2895335,34.0208561,-118.2889463,Unnamed,footway,200.5
34.0189911,-118.288706,34.0189677,-118.288651,Unnamed,footway,18.7
34.0203681,-118.2878477,34.0189911,-118.288706,Unnamed,footway,566.5
34.0189446,-118.2886045,34.0189677,-118.288651,Unnamed,footway,16.4
34.0189446,-118.2886045,34.0188759,-118.2885491,Unnamed,footway,31.0
34.0211173,-118.2880774,34.0212801,-118.2884518,Unnamed,footway,127.8
34.0211898,-118.2885116,34.0212801,-118.2884518,Unnamed,footway,37.6
34.0211173,-118.2880774,34.0209613,-118.2881825,Unnamed,footway,65.2
34.0212758,-118.2887228,34.0211898,-118.2885116,Unnamed,footway,71.2
34.020719,-118.2883321,34.0206693,-118.2883663,Unnamed,service,20.9
34.020719,-118.2883321,34.0204703,-118.2877698,Unnamed,footway,192.7
34.020974,-118.2889056,34.020719,-118.2883321,Unnamed,footway,196.8
34.0215515,-118.2905176,34.0215956,-118.2904908,Unnamed,service,18.0
34.0216447,-118.2907445,34.0215515,-118.2905176,Unnamed,footway,76.6
34.0187437,-118.2886335,34.0188759,-118.2885491,Unnamed,footway,54.6
34.0203681,-118.2878477,34.020371,-118.2878373,Unnamed,footway,3.3
34.0210564,-118.2896606,34.0207099,-118.289885,McClintock Avenue,service,143.5
34.0207412,-118.2899493,34.0207099,-118.289885,Unnamed,service,22.5
34.0210829,-118.2897226,34.0210564,-118.2896606,Unnamed,service,21.1
34.0207412,-118.2899493,34.0210829,-118.2897226,Unnamed,footway,142.3
34.020447,-118.2901644,34.0207412,-118.2899493,Unnamed,footway,125.5
34.0206842,-118.2906924,34.020447,-118.2901644,West 37th Street,footway,182.1
34.0211108,-118.2895335,34.0200491,-118.2902148,Unnamed,footway,439.8
34.0211108,-118.2895335,34.0211232,-118.2895392,Unnamed,footway,4.8
34.0212758,-118.2887228,34.020974,-118.2889056,Unnamed,footway,123.3
34.0212275,-118.28947,34.020974,-118.2889056,Unnamed,footway,195.1
