Intersection 1 Lat,Intersection 1 Lon,Intersection 2 Lat,Intersection 2 Lon,Road Name,Distance (ft)
34.0273404,-118.2765547,34.0271042,-118.2766951,South Figueroa Street,96.1
34.0273404,-118.2765547,34.0267771,-118.2753281,West 27th Street,424.0
34.0273404,-118.2765547,34.0281597,-118.2760241,South Figueroa Street,339.3
34.02549,-118.2915534,34.0250615,-118.2871137,West Jefferson Boulevard,1375.0
34.02549,-118.2915534,34.0247772,-118.2915554,South Vermont Avenue,260.1
34.02549,-118.2915534,34.0263906,-118.2915491,South Vermont Avenue,328.6
34.02549,-118.2915534,34.0255051,-118.293743,West Jefferson Boulevard,662.1
34.0203749,-118.2744303,34.0209921,-118.2757899,West 33rd Street,468.7
34.0203749,-118.2744303,34.0198695,-118.2733171,West 33rd Street,383.8
34.0203749,-118.2744303,34.0210506,-118.273985,South Hill Street,280.9
34.0203749,-118.2744303,34.0196638,-118.2748989,South Hill Street,295.7
34.0162746,-118.2770674,34.0169738,-118.27662,South Hill Street,288.7
34.0162746,-118.2770674,34.0154623,-118.2775922,South Hill Street,336.2
34.0162746,-118.2770674,34.0157624,-118.2759344,West 37th Street,390.2
34.0162746,-118.2770674,34.0168198,-118.2782814,West 37th Street,417.5
34.0111003,-118.2799533,34.0118518,-118.2807451,Unnamed Road,1171.6
34.0111003,-118.2799533,34.0111059,-118.2789125,West Martin Luther King Junior Boulevard,314.7
34.0111003,-118.2799533,34.0110977,-118.2804323,West Martin Luther King Junior Boulevard,144.9
34.0111003,-118.2799533,34.0118678,-118.2799145,South Hill Street,283.3
34.0157624,-118.2759344,34.0152536,-118.2748072,West 37th Street,388.1
34.0157624,-118.2759344,34.0165228,-118.2754708,Broadway,310.8
34.0157624,-118.2759344,34.0149448,-118.2764545,Broadway,337.2
34.0157624,-118.2759344,34.0162746,-118.2770674,West 37th Street,390.2
34.0111059,-118.2789125,34.0111003,-118.2799533,West Martin Luther King Junior Boulevard,314.7
34.0111059,-118.2789125,34.0111089,-118.2783655,West Martin Luther King Junior Boulevard,165.4
34.0111418,-118.2827383,34.0140189,-118.2827882,South Figueroa Street,1049.7
34.0111418,-118.2827383,34.0110814,-118.2872312,West Martin Luther King Junior Boulevard,1359.1
34.0111418,-118.2827383,34.0111237,-118.2820064,West Martin Luther King Junior Boulevard,221.7
34.0237668,-118.2840136,34.0251461,-118.287061,West Jefferson Boulevard,1050.1
34.0237668,-118.2840136,34.0255164,-118.2839646,South Hoover Street,652.2
34.0237668,-118.2840136,34.0236742,-118.2840701,South Hoover Street,37.9
34.0111326,-118.274031,34.011114,-118.2774277,West Martin Luther King Junior Boulevard,1027.2
34.0111326,-118.274031,34.0111391,-118.27284,East Martin Luther King Junior Boulevard,360.2
34.0111326,-118.274031,34.0120626,-118.274034,South Main Street,339.3
34.0148892,-118.2740424,34.0140691,-118.27404,South Main Street,299.2
34.0148892,-118.2740424,34.0164067,-118.2740542,South Main Street,553.6
34.016846,-118.2737777,34.0169801,-118.2742446,West 36th Street,150.0
34.016846,-118.2737777,34.0164067,-118.2740542,South Main Street,180.8
34.016846,-118.2737777,34.017092,-118.2736209,South Main Street,101.5
34.0255152,-118.295905,34.0245372,-118.2959137,Budlong Avenue,356.9
34.0255152,-118.295905,34.0271655,-118.2959192,Budlong Avenue,602.3
34.0255152,-118.295905,34.0255129,-118.2948454,West Jefferson Boulevard,320.4
34.0255152,-118.295905,34.0255152,-118.2970054,West Jefferson Boulevard,332.7
34.0183522,-118.2944346,34.0190242,-118.2944296,South Catalina Street,245.2
34.0183522,-118.2944346,34.0183642,-118.2977196,Exposition Boulevard,993.3
34.0219044,-118.2800026,34.0212019,-118.2804568,South Figueroa Street,290.8
34.0219044,-118.2800026,34.023003,-118.279291,South Figueroa Street,454.9
34.0219044,-118.2800026,34.0213554,-118.2787529,West Jefferson Boulevard,427.7
34.0219044,-118.2800026,34.0222886,-118.2808654,West Jefferson Boulevard,296.1
